"Country Name","Country Code",1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Antigua and Barbuda","ATG",459469058.88889,481706333.33333,499281148.14815,535172777.77778,589429592.59259,577280740.74074,633730629.62963,680617111.11111,727860592.59259,766198925.92593,830158777.77778,800740259.25926,814615333.33333,855643111.11111,919577148.14815,1022191296.29630,1157005444.44444,1311401333.33333,1368431037.03704,1224253000.00000,1152469074.07407,1142042925.92593,1211411703.70370,1192919629.62963,1275576777.77778,1359194740.74074,1464630213.33333,1510084750.74074,1623804016.29630
"Australia","AUS",310774913428.24200,325306490856.29100,324873490732.90800,311539488476.67200,322208924247.66500,367216364716.36500,400302731411.22900,434568007512.91300,398899138574.23900,388608221581.65200,415222633925.76800,378376086723.19400,394648911678.52600,466488060570.76300,612490396927.01700,693407758231.84500,746054207846.66100,853099630996.31000,1053995523724.26000,927805183330.87900,1146138465603.81000,1396649906339.35000,1546151783872.96000,1576184467015.49000,1467483705131.74000,1351520093185.79000,1210028388411.70000,1330803227996.08000,1432195178668.32000
"Austria","AUT",166463386663.43900,173794177725.39800,195078126346.10600,190379720927.48100,203535242741.83800,241038283062.64500,237250948791.26600,212790348404.55500,218259904401.95600,217185787342.85100,196799778883.36100,197337879194.63100,213377771503.85800,261695778781.03800,300904221504.84200,315974418604.65100,335998557270.10400,388691445387.35300,430294287388.31100,400172297860.51700,391892746544.69000,431120310088.82000,409425234155.26300,430068712971.86700,441996131736.50800,381805676697.70700,394052818287.78800,416835975862.19400,455736580716.18500
"Azerbaijan","AZE",8858006035.91566,8792365810.50940,4991350457.54250,3970953395.51544,3313939553.54180,3052467522.36104,3176703092.30412,3962735257.21455,4446370371.15023,4581246713.32066,5272617196.04517,5707720390.85150,6235856819.58445,7276013031.96905,8680370408.05943,13245716099.00570,20982986344.30270,33050343782.77590,48852482960.07790,44291490420.50260,52902703376.10560,65951627200.20260,69683935845.21380,74164435946.46270,75244294275.14980,53074468085.10640,37867518957.19750,40865558912.38670,46939529411.76470
"Burundi","BDI",1132101252.51817,1167398478.34590,1083037670.60484,938632612.02636,925030590.15368,1000428393.88528,869033856.31709,972896267.91543,893770806.07764,808077223.36575,870486065.88314,876794723.06859,825394490.15911,784654423.62048,915257323.39610,1117113045.65222,1273375020.26862,1356199364.85882,1611835901.90630,1781455092.07114,2032135246.50004,2235820867.82743,2333308099.46249,2451625332.74584,2705783272.07443,3104394858.11518,2959185295.39019,3172416146.39210,3078029929.10347
"Belgium","BEL",206430841501.69000,211637816538.68900,236038384441.65600,225924679920.70900,246194938750.90400,289567323481.11700,281358175895.76600,254813599458.72800,260601911535.89700,260202429149.79800,237904919845.21800,237841968680.09000,258860436664.78400,319002821670.42900,370885026074.00000,387365750528.54100,409813197842.17800,471821105940.32300,518625897172.99000,484552792442.34500,483548031197.10800,527008453886.92900,497884216568.86700,520925468952.93800,530808391525.11000,455940347170.37000,469677213719.19400,494901708704.26900,531766935070.73300
"Benin","BEN",1959965243.76269,1986437859.90346,1695315305.70308,2274557914.07481,1598075932.35432,2169627250.93379,2361116587.86079,2268301537.65128,2455092582.30927,2689787917.50711,2569186642.86999,2680213931.46472,3054571081.69120,3905366187.87017,4521424807.22519,4803702821.08056,5142380779.44103,5969535131.58016,7132787396.66547,7097198711.61023,6970240895.49888,7814081155.64988,8152554487.31321,9157355679.70205,9707432015.61441,8291155880.59505,8573159696.61128,9246696923.66155,10358985583.23500
"Burkina Faso","BFA",3101301780.95067,3135045684.10060,2240264711.54816,2332018010.55341,1895290964.80829,2379518099.22660,2586550747.09844,2447669403.89018,2804902723.73145,2993753187.09677,2628920056.10098,2812845513.57125,3205592289.79773,4205691222.11396,4838551099.70985,5462709498.45119,5816310157.71765,6771277870.96412,8369637065.40255,8369175126.25316,8979966766.07232,10724063457.83260,11166063466.56230,11947176341.99660,12377391462.63770,10419303761.35240,10886363726.84220,12322864244.91830,14441763758.69190
"Bangladesh","BGD",31598341233.55900,30957483949.57980,31708874594.16450,33166519417.98940,33768660882.79300,37939748768.65670,46438484107.57950,48244309133.48950,49984559471.36560,51270569883.52750,53369787318.62450,53991289844.32910,54724081490.51020,60158929188.25560,65108544250.04250,69442943089.43090,71819083683.74030,79611888213.14800,91631278239.32370,102477791472.39000,115279077465.22600,128637938711.38600,133355749482.47800,149990451022.29000,172885454931.45300,195078678697.23000,221415188000.47500,249723862487.36100,274024958965.89200
"Bulgaria","BGR",20632090909.09090,10943548387.09680,10350515463.91750,10829710144.92750,9697416974.16974,18867559523.80950,12184935356.94210,11211546465.30710,14942172233.58330,13531969309.46290,13153016530.87180,14075616789.49050,16276456427.53970,20982685981.41630,25957970922.48110,29636617749.82530,34130122490.86130,44411476557.03290,54409138498.35480,51884481410.39310,50610058210.36960,57418414504.08820,53903022339.02760,55555171009.77200,56814543481.21020,50201314894.58170,53240950226.24430,58220973782.77150,65132951116.47560
